order_id,customer_id,restaurant_id,partner_id,order_date,order_amount,delivery_time_minutes,order_status
87,1940,60,412,2023-09-20,677,49,Delivered
88,1178,129,356,2023-08-15,922,51,Delivered
89,499,174,493,2023-08-23,1545,44,Delivered
90,1766,15,247,2023-03-01,678,19,Cancelled
91,1616,113,347,2023-12-26,620,35,Delivered
92,724,265,275,2023-01-05,1585,31,Delivered
93,191,205,345,2023-06-25,305,50,Delivered
94,976,161,182,2023-04-22,1981,51,Cancelled
95,1940,98,256,2023-04-13,630,30,Delivered
96,424,118,104,2023-05-08,1862,54,Cancelled
97,1596,55,62,2023-02-10,1534,57,Delivered
98,14,278,491,2023-01-22,1886,45,Delivered
99,646,253,460,2023-10-22,1929,32,Delivered
100,1566,262,144,2023-07-23,604,51,Delivered
101,1077,217,245,2023-10-04,216,47,Delivered
102,1763,90,235,2023-03-03,1580,48,Delivered
103,1412,5,7,2023-12-12,581,39,Delivered
104,667,186,314,2023-05-13,533,50,Delivered
105,552,242,491,2023-11-10,852,38,Delivered
106,869,108,215,2023-12-25,1690,38,Delivered
107,821,144,231,2023-04-03,1320,23,Delivered
108,1405,118,417,2023-02-21,1626,32,Cancelled
109,1138,222,439,2023-07-15,551,24,Delivered
110,1513,77,243,2023-01-05,511,41,Delivered
111,1830,265,274,2023-06-11,1758,46,Delivered
112,1152,291,25,2023-07-23,352,59,Delivered
113,442,131,244,2023-11-19,347,43,Delivered
114,533,185,185,2023-10-14,1291,31,Delivered
115,844,63,180,2023-12-14,1390,27,Delivered
116,1331,276,90,2023-05-26,877,35,Delivered
117,999,229,456,2023-02-10,930,54,Delivered
118,1294,75,445,2023-03-27,1461,36,Delivered
119,1255,293,208,2023-02-06,312,25,Delivered
120,643,163,335,2023-05-30,1604,32,Delivered
121,810,139,455,2023-08-16,1749,38,Delivered
122,1067,231,212,2023-03-27,526,16,Delivered
123,481,129,482,2023-12-25,1685,20,Delivered
124,814,53,49,2023-02-02,1949,45,Delivered
125,54,204,269,2023-02-12,362,31,Delivered
126,173,200,159,2023-04-28,656,33,Delivered
127,259,68,270,2023-03-29,208,17,Delivered
128,1763,167,443,2023-09-01,1106,49,Delivered
129,1124,228,70,2023-12-24,1254,26,Cancelled
130,936,289,223,2023-09-26,1460,55,Delivered
131,1862,178,247,2023-10-04,615,20,Delivered
132,750,212,134,2023-03-21,771,15,Delivered
133,1670,70,177,2023-05-27,1110,49,Delivered
134,1889,252,485,2023-09-02,763,15,Delivered
135,1635,150,306,2023-04-29,1781,15,Delivered
136,387,211,452,2023-10-15,1045,40,Delivered
137,1465,200,425,2023-07-13,601,31,Delivered
138,1281,123,265,2023-11-10,1803,59,Delivered
139,584,273,415,2023-05-18,995,27,Delivered
140,374,70,149,2023-02-26,1454,44,Cancelled
141,558,252,97,2023-06-14,189,24,Delivered
142,1096,12,96,2023-02-22,727,32,Delivered
143,898,5,120,2023-02-16,458,15,Delivered
144,701,216,160,2023-09-13,910,44,Delivered
145,65,170,42,2023-03-16,264,32,Delivered
146,147,279,241,2023-04-03,543,31,Delivered
147,1697,7,63,2024-01-01,659,39,Delivered
148,908,127,378,2023-01-18,557,44,Delivered
149,193,267,341,2023-04-17,1118,39,Delivered
150,640,166,82,2023-11-19,1641,17,Delivered
151,1126,267,63,2023-05-10,1135,55,Delivered
152,739,27,443,2023-12-08,596,22,Delivered
153,890,167,8,2023-03-27,1776,32,Delivered
154,811,125,5,2023-01-22,1340,59,Delivered
155,1222,80,191,2023-02-15,659,25,Delivered
156,1405,174,477,2023-11-17,272,18,Delivered
157,316,275,406,2023-02-24,407,46,Delivered
158,1144,178,413,2023-08-13,1651,27,Delivered
159,774,184,371,2023-03-10,663,17,Delivered
160,897,287,151,2023-10-05,1577,46,Delivered
161,383,279,179,2023-06-15,1649,44,Delivered
162,1703,284,83,2023-02-05,1237,24,Delivered
163,1679,135,278,2023-07-07,1079,15,Delivered
164,1037,195,376,2023-04-05,1958,16,Delivered
165,746,123,165,2023-02-02,1498,49,Delivered
166,389,269,350,2023-09-12,1718,50,Delivered
167,580,166,210,2023-11-25,809,22,Delivered
168,1350,35,23,2023-03-08,515,17,Delivered
169,995,99,51,2023-01-17,1319,56,Delivered
170,1348,251,270,2023-11-16,1586,52,Delivered
171,751,114,311,2023-02-06,176,28,Delivered
172,1902,41,240,2023-11-24,274,38,Delivered
173,1922,213,421,2023-07-08,1776,60,Delivered
174,1264,137,271,2023-01-21,1653,19,Delivered
175,160,111,492,2023-09-23,348,21,Delivered
176,1089,198,98,2023-04-09,1227,57,Delivered
177,1281,92,286,2023-10-13,1000,21,Delivered
178,1181,184,346,2023-08-23,1588,57,Delivered
179,214,86,406,2023-04-03,1276,40,Delivered
180,1347,81,274,2023-11-04,1057,37,Delivered
181,1127,167,433,2023-07-10,994,55,Cancelled
182,1487,166,312,2023-05-04,1303,49,Delivered
183,1569,282,475,2023-05-11,887,43,Delivered
184,814,1,372,2023-01-18,732,53,Delivered
185,277,155,4,2023-06-03,604,28,Delivered
186,45,142,471,2023-10-11,1197,50,Cancelled
187,1171,80,49,2023-01-20,1092,37,Delivered
188,543,188,456,2023-10-26,661,29,Delivered
189,616,48,293,2023-07-24,1315,28,Delivered
190,1482,167,406,2023-09-05,504,46,Delivered
191,1413,296,420,2023-02-18,1369,56,Delivered
192,1497,296,196,2023-02-10,1747,18,Delivered
193,685,179,451,2023-08-11,1003,22,Cancelled
194,465,6,325,2023-11-20,933,18,Cancelled
195,85,164,277,2023-10-17,456,35,Delivered
196,453,79,26,2023-12-11,1648,40,Delivered
197,1542,295,259,2023-02-16,604,42,Cancelled
198,808,76,68,2023-06-22,319,45,Delivered
199,101,281,205,2023-05-15,324,40,Delivered
200,1585,67,391,2023-03-11,1134,50,Delivered
201,810,293,101,2023-10-15,1411,48,Delivered
202,147,137,398,2023-08-09,812,58,Delivered
203,184,58,344,2023-07-31,1017,38,Cancelled
204,657,177,305,2023-12-02,199,34,Delivered
205,717,227,320,2023-03-16,1052,17,Delivered
206,479,103,351,2023-07-11,469,20,Cancelled
207,112,125,486,2023-11-14,452,33,Delivered
208,1421,57,157,2023-08-19,1114,16,Delivered
209,1516,276,109,2023-04-15,1269,48,Delivered
210,1124,248,319,2023-03-14,1573,59,Delivered
211,772,299,464,2023-12-06,1228,17,Delivered
212,124,146,103,2023-12-23,1415,32,Delivered
213,1341,5,35,2023-07-18,1502,32,Delivered
214,1870,185,443,2023-02-25,189,33,Delivered
215,1330,198,119,2023-07-14,1191,60,Cancelled
216,647,249,444,2023-11-02,1238,20,Delivered
217,1026,235,288,2023-12-31,194,17,Delivered
218,1085,157,171,2023-09-08,955,25,Delivered
219,1402,181,182,2023-11-17,769,30,Delivered
220,1027,142,416,2023-02-01,1431,31,Cancelled
221,1824,16,484,2023-10-12,723,29,Cancelled
222,1838,202,337,2023-03-12,329,39,Delivered
223,1389,117,214,2023-05-04,1323,24,Delivered
224,640,169,230,2023-10-05,419,28,Delivered
225,1190,278,351,2023-04-14,1916,23,Delivered
226,1445,269,466,2023-03-11,1030,24,Delivered
227,1157,81,163,2023-02-04,1291,49,Delivered
228,243,95,163,2023-03-16,1639,16,Cancelled
229,1803,212,493,2023-07-30,771,43,Delivered
230,1683,141,78,2023-04-07,368,23,Delivered
231,1562,137,311,2023-10-18,1404,29,Delivered
232,473,14,184,2023-02-10,1559,45,Delivered
233,1733,241,365,2023-11-29,915,26,Delivered
234,1007,243,71,2023-03-25,545,29,Cancelled
235,1566,8,474,2023-05-19,995,29,Delivered
236,416,105,34,2023-04-01,1049,54,Delivered
237,666,235,455,2023-05-07,1025,40,Delivered
238,1246,195,369,2023-06-10,957,54,Delivered
239,1172,275,269,2023-11-25,1943,60,Cancelled
240,1067,56,232,2023-08-22,1843,17,Delivered
241,504,266,276,2023-07-22,1655,17,Cancelled
242,1058,26,98,2023-05-30,1050,40,Delivered
243,1585,147,237,2023-03-27,1015,33,Cancelled
244,112,265,463,2023-03-14,1099,56,Delivered
245,1480,257,58,2023-04-03,1744,52,Delivered
246,1426,280,70,2023-07-21,996,35,Cancelled
247,367,233,303,2023-12-31,1984,27,Delivered
248,185,129,166,2023-12-21,1478,60,Cancelled
249,1472,64,47,2023-02-28,1596,43,Delivered
250,175,269,363,2023-07-16,1638,47,Delivered
251,328,194,282,2023-07-14,239,25,Delivered
252,1159,77,84,2023-03-16,516,60,Cancelled
253,631,159,374,2023-08-17,741,55,Delivered
254,1841,68,492,2023-04-14,157,54,Delivered
255,26,235,255,2023-09-13,1263,15,Delivered
256,1011,122,112,2023-10-29,1500,45,Delivered
257,905,41,308,2023-11-04,163,30,Delivered
258,570,286,420,2023-04-17,250,26,Cancelled
259,1338,179,19,2023-03-16,1898,17,Delivered
260,1717,153,170,2023-02-14,250,21,Delivered
261,366,83,345,2023-05-26,1401,57,Delivered
262,1219,294,404,2023-10-15,513,44,Delivered
263,738,19,48,2023-06-03,811,38,Delivered
264,1680,35,389,2023-08-07,1877,50,Cancelled
265,965,69,63,2023-12-22,1910,32,Delivered
266,848,269,108,2023-12-23,578,54,Delivered
267,1171,271,45,2023-09-05,1632,59,Delivered
268,1615,148,219,2023-11-08,1886,35,Delivered
269,1178,182,475,2023-03-08,1408,51,Delivered
270,1494,255,253,2023-04-03,1959,54,Delivered
271,595,100,1,2023-03-02,199,44,Delivered
272,242,107,410,2023-11-12,999,41,Delivered
273,717,287,413,2023-11-23,584,15,Delivered
274,1414,145,131,2023-02-04,780,34,Delivered
275,664,4,59,2023-12-18,832,36,Delivered
276,1166,15,427,2023-03-31,547,36,Delivered
277,1889,246,470,2023-08-31,1782,17,Delivered
278,987,80,322,2023-08-24,1976,49,Delivered
279,948,212,476,2023-01-29,1860,48,Cancelled
280,1485,162,285,2023-10-02,188,28,Delivered
281,680,182,34,2023-03-18,724,16,Delivered
282,769,274,432,2023-03-26,1319,53,Delivered
283,1219,60,443,2023-06-07,1594,35,Delivered
284,557,212,45,2023-09-12,1946,30,Delivered
285,1699,155,111,2023-09-26,769,26,Delivered
286,1608,20,399,2023-04-14,339,43,Delivered
287,1637,248,464,2023-09-14,465,27,Delivered
288,991,269,159,2023-06-17,443,21,Delivered
289,1922,265,347,2023-03-09,570,17,Delivered
290,1462,268,60,2023-01-03,786,17,Delivered
291,1218,45,171,2023-08-28,1971,17,Delivered
292,1570,160,12,2023-10-23,1703,34,Delivered
293,430,165,103,2023-04-09,736,32,Delivered
294,1583,226,344,2023-03-02,708,24,Delivered
295,235,8,491,2023-11-15,1296,47,Delivered
296,1112,180,282,2023-06-13,705,24,Delivered
297,1647,146,294,2023-05-06,500,19,Cancelled
298,1828,174,277,2023-08-16,253,23,Delivered
299,1850,26,55,2023-07-16,260,20,Delivered
300,367,229,316,2023-07-02,789,36,Delivered
301,1461,274,41,2023-08-27,1312,23,Delivered
302,1644,240,50,2023-08-22,785,58,Delivered
303,1570,239,241,2023-04-29,608,24,Delivered
304,1264,133,468,2023-07-06,952,26,Cancelled
305,1363,170,404,2023-06-16,1078,46,Delivered
306,974,58,180,2023-09-03,1094,25,Delivered
307,714,295,66,2023-09-18,360,40,Delivered
308,1632,55,167,2023-10-12,1480,19,Delivered
309,1092,237,206,2023-10-30,996,30,Delivered
310,1123,82,499,2023-09-04,936,19,Delivered
311,1667,221,402,2023-08-11,1311,36,Delivered
312,484,89,340,2023-12-09,309,60,Delivered
313,997,59,304,2023-11-02,1098,35,Delivered
314,1684,228,91,2023-06-07,981,19,Delivered
315,1404,195,168,2023-09-11,1470,57,Delivered
316,446,72,455,2023-10-25,1999,55,Delivered
317,1551,76,339,2023-03-18,1077,49,Delivered
318,1261,296,229,2023-04-11,571,58,Delivered
319,614,292,407,2023-12-14,773,42,Cancelled
320,1875,177,46,2023-10-26,166,54,Delivered
321,828,66,437,2023-05-31,277,38,Cancelled
322,1983,28,1,2023-12-27,1296,37,Cancelled
323,578,16,121,2023-08-10,1588,52,Delivered
324,652,196,208,2023-07-15,1041,49,Delivered
325,356,244,72,2023-04-07,1287,39,Delivered
326,738,214,79,2023-05-28,1937,57,Delivered
327,24,37,332,2023-01-09,444,46,Delivered
328,1997,70,44,2023-03-12,1465,41,Delivered
329,1831,218,320,2023-04-03,1080,47,Cancelled
330,1680,231,197,2023-07-01,612,26,Delivered
331,16,296,256,2023-05-02,1608,47,Delivered
332,1898,280,296,2023-07-07,218,17,Delivered
333,1444,189,58,2023-10-25,1136,59,Delivered
334,1496,270,440,2023-05-24,1102,48,Delivered
335,1823,46,126,2023-08-30,1441,57,Delivered
336,160,277,409,2023-10-24,789,54,Cancelled
337,704,274,399,2023-01-06,1110,44,Delivered
338,961,294,376,2023-06-19,1012,37,Delivered
339,1635,151,149,2023-03-27,222,59,Cancelled
340,1535,156,373,2023-10-16,683,18,Cancelled
341,1185,87,294,2023-01-27,1494,33,Delivered
342,1279,14,147,2023-09-06,318,23,Delivered
343,1744,143,130,2023-03-09,1411,32,Delivered
344,527,8,380,2023-02-27,1386,26,Delivered
345,1514,78,338,2023-08-17,907,26,Cancelled
346,1436,121,249,2023-04-03,1787,48,Delivered
347,703,44,496,2023-03-16,1369,24,Cancelled
348,1542,212,395,2023-07-16,637,57,Delivered
349,1306,86,108,2023-10-23,1653,37,Delivered
350,542,60,27,2023-03-27,1100,40,Delivered
351,976,273,120,2023-07-14,1549,60,Delivered
352,538,75,272,2023-08-11,174,33,Delivered
353,920,196,348,2023-06-11,1235,58,Cancelled
354,200,273,327,2023-07-01,1879,42,Cancelled
355,1336,140,172,2023-05-19,696,21,Delivered
356,1197,201,237,2023-12-12,1684,30,Delivered
357,1206,100,267,2023-06-22,1537,59,Delivered
358,642,281,6,2023-12-11,167,19,Cancelled
359,201,269,54,2023-12-17,1063,37,Delivered
360,581,129,99,2023-01-18,198,54,Delivered
361,1923,112,487,2023-11-03,1456,22,Delivered
362,246,45,439,2023-11-06,416,39,Delivered
363,1843,290,412,2023-04-05,1985,22,Delivered
364,519,151,240,2023-12-05,305,55,Delivered
365,567,219,355,2023-12-08,1726,35,Delivered
366,1599,38,142,2023-02-01,933,39,Delivered
367,124,133,490,2023-05-16,514,43,Delivered
368,1902,103,313,2023-07-21,515,56,Delivered
369,295,277,394,2023-08-09,597,54,Delivered
370,1870,227,367,2023-05-13,361,17,Delivered
371,1171,129,398,2023-08-17,188,46,Delivered
372,1312,1,478,2023-01-20,1511,39,Delivered
373,1434,169,464,2023-07-20,1326,15,Delivered
374,1925,252,245,2023-08-12,977,19,Delivered
375,7,197,489,2023-12-19,1825,45,Delivered
376,1097,184,171,2023-12-16,770,40,Delivered
377,1964,47,188,2023-10-01,1897,36,Delivered
378,942,149,332,2023-04-14,511,50,Delivered
379,787,98,154,2023-12-23,948,21,Delivered
380,736,250,44,2023-11-20,1046,27,Delivered
381,396,13,369,2023-10-31,638,46,Delivered
382,1624,277,330,2023-06-07,1173,49,Delivered
383,1663,231,495,2023-01-09,225,36,Cancelled
384,1614,22,208,2023-03-02,583,56,Delivered
385,939,275,77,2023-10-24,627,19,Delivered
386,290,251,335,2023-01-10,1115,54,Delivered
387,1437,67,8,2023-03-30,1445,18,Delivered
388,1681,50,234,2023-11-09,499,52,Cancelled
389,1675,55,59,2023-09-12,1368,54,Delivered
390,1648,104,219,2023-06-22,1811,58,Delivered
391,248,295,280,2023-03-12,808,28,Delivered
392,1215,89,172,2023-02-02,397,32,Delivered
393,851,87,357,2023-07-09,1283,25,Delivered
394,1896,298,21,2023-03-10,354,55,Delivered
395,1593,81,9,2023-09-07,315,15,Delivered
396,1897,46,362,2023-11-30,1365,33,Delivered
397,1654,244,355,2023-03-06,572,24,Delivered
398,1072,231,211,2023-05-03,507,54,Delivered
399,1222,93,368,2023-09-13,1403,20,Delivered
400,1603,155,179,2023-08-03,159,50,Delivered
401,241,272,49,2023-11-13,891,49,Delivered
402,951,107,142,2023-01-28,546,22,Delivered
403,1404,243,255,2023-04-01,477,57,Delivered
404,111,187,146,2023-04-18,1040,31,Cancelled
405,1649,233,23,2023-02-23,1666,18,Delivered
406,361,81,403,2023-01-15,1143,47,Cancelled
407,1834,121,370,2023-08-16,1363,52,Delivered
408,408,167,118,2023-02-26,817,29,Delivered
409,1511,212,446,2023-04-13,919,29,Delivered
410,1199,249,28,2023-08-12,446,28,Delivered
411,932,92,199,2023-07-11,429,44,Cancelled
412,1295,184,500,2023-05-19,564,36,Delivered
413,1418,292,31,2023-05-24,429,22,Delivered
414,940,215,88,2023-06-25,600,33,Cancelled
415,1617,88,296,2023-10-11,1901,29,Delivered
416,1756,268,251,2023-04-21,1361,45,Delivered
417,572,8,374,2023-08-08,1657,30,Delivered
418,890,297,114,2023-10-30,455,51,Delivered
419,856,23,21,2023-08-29,1652,47,Cancelled
420,1088,202,246,2023-12-23,1832,21,Delivered
421,493,43,286,2023-01-07,1569,41,Delivered
422,272,184,152,2023-05-03,1476,20,Cancelled
423,1371,157,83,2023-12-27,1090,51,Delivered
424,50,233,238,2023-03-12,1940,60,Delivered
425,1618,190,321,2023-08-26,1591,55,Delivered
426,1285,37,198,2023-12-20,831,48,Delivered
427,873,139,358,2023-11-10,1260,51,Delivered
428,1614,42,318,2023-06-21,1656,18,Delivered
429,1864,187,455,2023-01-27,377,39,Delivered
430,1268,21,188,2023-07-07,508,56,Delivered
431,138,288,364,2023-04-15,433,36,Delivered
432,233,245,378,2023-10-25,1934,59,Delivered
433,1526,116,165,2023-06-30,1988,32,Delivered
434,867,142,28,2023-02-02,913,37,Delivered
435,1027,270,425,2023-03-04,1112,60,Delivered
436,1691,273,461,2023-05-30,1075,54,Delivered
437,1379,34,97,2023-08-23,328,20,Delivered
438,367,148,491,2023-02-09,373,25,Delivered
439,1428,76,255,2023-03-19,1941,28,Delivered
440,1285,12,151,2023-08-02,1547,49,Delivered
441,971,178,216,2023-08-16,1660,56,Cancelled
442,388,33,12,2023-04-29,1859,48,Delivered
443,844,297,176,2023-12-02,1473,35,Delivered
444,1364,272,432,2023-10-08,1061,44,Delivered
445,271,157,88,2023-05-14,614,45,Delivered
446,591,25,76,2023-06-30,732,44,Delivered
447,1267,83,365,2023-10-02,734,26,Cancelled
448,1719,79,83,2023-05-02,389,17,Cancelled
449,1177,65,226,2023-05-14,907,26,Cancelled
450,1449,18,341,2023-06-12,854,24,Delivered
451,1106,84,274,2023-06-04,398,16,Delivered
452,1023,75,486,2023-08-23,805,24,Delivered
453,1513,280,500,2023-09-17,828,56,Delivered
454,971,149,497,2023-10-21,1515,24,Delivered
455,1493,227,174,2023-12-19,380,45,Delivered
456,286,283,60,2023-06-07,200,40,Cancelled
457,452,229,183,2023-02-17,818,18,Delivered
458,400,299,270,2023-04-24,1750,32,Delivered
459,172,276,435,2023-08-17,1536,57,Delivered
460,1999,263,202,2023-04-10,1154,35,Cancelled
461,1048,29,466,2023-12-08,889,40,Delivered
462,1749,219,190,2023-07-17,913,15,Delivered
463,720,158,229,2023-10-15,329,28,Delivered
464,910,213,412,2023-08-15,741,25,Delivered
465,1988,218,374,2023-08-01,435,52,Delivered
466,295,107,156,2023-09-01,1926,48,Delivered
467,136,193,46,2023-01-04,988,55,Cancelled
468,849,90,285,2023-08-25,1604,51,Cancelled
469,281,103,96,2023-07-15,742,50,Delivered
470,1686,155,428,2023-10-27,772,46,Delivered
471,950,115,14,2023-01-02,465,31,Delivered
472,1312,242,64,2023-12-01,1513,33,Delivered
473,1008,126,15,2023-03-03,1716,32,Delivered
474,1988,35,307,2023-07-05,1340,45,Delivered
475,1779,133,322,2023-12-18,1124,59,Delivered
476,765,263,376,2023-10-22,185,31,Delivered
477,120,75,164,2023-08-25,1948,59,Delivered
478,335,28,140,2023-07-04,1009,55,Delivered
479,730,25,149,2023-05-30,1234,55,Cancelled
480,1053,100,393,2023-11-18,525,21,Cancelled
481,343,279,166,2023-06-11,1843,58,Delivered
482,556,186,50,2023-10-01,1337,37,Delivered
483,27,71,266,2023-05-25,913,46,Delivered
484,1887,84,53,2023-04-22,466,47,Delivered
485,386,287,315,2023-12-20,1852,48,Delivered
486,1460,283,360,2023-02-28,1004,44,Delivered
487,239,68,473,2023-01-09,1132,37,Cancelled
488,743,72,419,2023-08-15,1972,53,Delivered
489,1987,176,89,2023-12-30,773,16,Delivered
490,243,114,66,2023-12-22,441,59,Delivered
491,257,108,67,2023-02-10,1020,59,Delivered
492,229,40,10,2023-09-05,1701,42,Delivered
493,221,17,407,2023-12-04,1201,52,Delivered
494,244,130,23,2023-02-03,767,57,Delivered
495,198,64,472,2023-11-05,570,52,Delivered
496,379,180,15,2023-02-16,448,32,Cancelled
497,713,181,83,2023-09-14,1749,54,Cancelled
498,1168,35,51,2023-10-24,1713,15,Delivered
499,1466,99,494,2023-05-25,501,49,Delivered
500,1486,51,474,2023-04-20,1182,60,Delivered
501,1430,95,226,2023-12-11,369,26,Delivered
502,778,218,110,2023-09-21,616,41,Delivered
503,644,64,239,2023-02-26,1214,23,Delivered
504,740,148,286,2023-01-21,318,35,Delivered
505,789,146,234,2023-11-04,1657,34,Delivered
506,1723,228,116,2023-10-11,984,33,Delivered
507,877,97,439,2023-02-05,1982,45,Cancelled
508,753,92,7,2023-12-12,1156,58,Cancelled
509,898,268,338,2023-12-13,324,22,Delivered
510,821,53,380,2023-03-28,282,38,Delivered
511,694,103,305,2023-07-26,401,29,Cancelled
512,1486,256,143,2024-01-01,1718,52,Delivered
513,1549,205,183,2023-09-01,1515,53,Delivered
514,993,262,143,2023-03-17,1722,44,Cancelled
515,514,251,255,2023-04-29,1436,23,Delivered
516,1512,28,426,2023-02-04,1170,58,Delivered
517,367,196,310,2023-12-14,819,24,Delivered
518,1277,50,390,2023-02-09,1503,48,Delivered
519,1624,239,104,2023-05-31,1505,46,Delivered
520,536,278,176,2023-10-04,1269,16,Delivered
521,65,221,451,2023-03-02,935,43,Cancelled
522,771,227,236,2023-01-19,217,26,Delivered
523,1763,156,453,2023-12-28,486,46,Delivered
524,640,200,250,2023-02-26,1315,58,Delivered
525,1135,277,293,2023-08-29,1124,50,Delivered
526,1038,29,201,2023-05-15,1163,52,Cancelled
527,1264,181,393,2023-05-26,806,18,Cancelled
528,93,66,429,2023-07-07,864,52,Delivered
529,1826,175,195,2023-02-19,1026,37,Delivered
530,844,180,29,2023-12-05,650,30,Cancelled
531,640,44,467,2023-12-19,284,34,Delivered
532,348,11,276,2023-06-16,226,44,Delivered
533,866,291,264,2023-08-04,696,16,Delivered
534,1205,12,163,2023-07-13,1318,39,Delivered
535,201,251,52,2023-12-20,1532,28,Delivered
536,1030,174,86,2023-11-11,763,38,Delivered
537,414,255,326,2023-02-08,1871,49,Cancelled
538,544,25,153,2023-10-21,973,29,Delivered
539,1962,48,368,2023-10-24,344,52,Delivered
540,138,291,411,2023-09-29,1123,42,Delivered
541,1630,40,334,2023-06-04,1183,34,Delivered
542,1106,161,103,2023-08-01,973,31,Delivered
543,929,281,93,2023-01-10,1435,60,Delivered
544,383,296,256,2023-04-20,1503,44,Delivered
545,1307,273,415,2023-11-11,1896,42,Delivered
546,1489,31,268,2023-04-13,896,44,Cancelled
547,309,154,433,2023-08-11,990,35,Delivered
548,1867,33,325,2023-04-15,1882,41,Cancelled
549,588,83,132,2023-12-18,1381,30,Delivered
550,233,77,99,2023-01-15,652,34,Delivered
551,1147,224,217,2023-11-28,225,27,Delivered
552,280,15,133,2023-05-23,1498,50,Delivered
